Unnamed: 0,business_id,feature_scores,feature_count
1,-0M0b-XhtFagyLmsBtOe8w,"{""Ambiance"": 5.0, ""Service"": 5.0, ""Food"": 5.0, ""Cheese Plate"": 5.0, ""Drinks"": 5.0, ""Local Wines"": 5.0}","{""Ambiance"": 1, ""Service"": 1, ""Food"": 1, ""Cheese Plate"": 1, ""Drinks"": 1, ""Local Wines"": 1}"
2,-0TffRSXXIlBYVbb5AwfTg,"{""Service"": 4.4772727272727275, ""Appetizers"": 3.75, ""Main Courses"": 4.0, ""Brunch Special"": 4.0, ""Naan"": 3.0, ""Indian Food"": 4.75, ""Spinach Chaat"": 5.0, ""Lamb Lollipops"": 4.0, ""Happy Hour"": 5.0, ""Chicken and Waffles"": 5.0, ""Brunch Mimosas"": 5.0, ""Crispy Spinach Chaat"": 4.5, ""Vegetable Samosa Chaat"": 4.5, ""Rassam"": 3.0, ""Paneer Tikka Masala"": 3.0, ""Madras with Free Range Chicken Breast"": 3.0, ""Malai Kofta"": 5.0, ""Variety of Dishes"": 5.0, ""Starters"": 5.0, ""Atmosphere"": 3.857142857142857, ""Overall Rating"": 5.0, ""Crispy Spinach Chaat Salad"": 5.0, ""Chana Saag"": 5.0, ""Saffron Basmati Rice"": 5.0, ""Chickpea Naan"": 3.0, ""Chicken Madras"": 4.0, ""Goan Paella"": 3.0, ""Pork Vindaloo"": 4.0, ""Bottomless Brunch"": 5.0, ""Drinks"": 4.0, ""Makhani"": 4.0, ""Banana Nirvana"": 5.0, ""Chicken Tikka Masala"": 5.0, ""Soups"": 5.0, ""Drums of Heaven"": 4.5, ""Ice Cream Cookie"": 5.0, ""Indian Fusion Dishes"": 5.0, ""Bread Basket"": 4.5, ""Indian Cuisine"": 5.0, ""Crispy Spinach"": 5.0, ""Naan Pizza"": 5.0, ""Drumsticks"": 5.0, ""Main Dishes"": 5.0, ""Chicken Tikka Chipotle"": 4.0, ""Shrimp Skewers"": 5.0, ""Paneer Bhurji"": 5.0, ""Chicken Biryani"": 5.0, ""Indebluetini"": 5.0, ""Chicken & Waffles"": 4.0, ""Poutine"": 3.0, ""Pineapple Dessert"": 5.0, ""Tasting Menu"": 5.0, ""Bombay Sparkler"": 5.0, ""Indeblutini"": 5.0, ""Food"": 4.428571428571429, ""Food Quality"": 4.0, ""Value"": 3.0, ""Shrimp Koliwada Soft Tacos"": 5.0, ""Sali Boti Poutine"": 5.0, ""Stuffed Gulab Jamun"": 5.0, ""Chaat"": 5.0, ""Vindaloo Eggs"": 5.0, ""Decor"": 4.0, ""Seafood Thali"": 3.0, ""Crunchy Spinach Chaat"": 4.0, ""Lamb Chops"": 5.0, ""Cocktail (Bombay Punch)"": 4.0, ""Apps"": 5.0, ""Entrees"": 5.0, ""Ambience"": 4.5, ""Baked Tender Chicken"": 5.0, ""Colorful Dishes"": 3.0, ""Menu Variety"": 2.0, ""Samosas"": 1.0, ""Vindaloo"": 3.0, ""Chicken Curry"": 2.0, ""Naan Bread"": 5.0, ""Vegetarian Options"": 5.0, ""Crispy Cauliflower"": 5.0, ""Potato Samosas"": 4.0, ""Tandoori Chicken"": 5.0, ""Brussel Sprouts with Burrata"": 5.0, ""Masala Chicken"": 5.0, ""Dal Thali"": 5.0, ""Mango Pork Spring Rolls"": 5.0, ""Brussel Sprouts"": 5.0, ""Garlic Naan"": 4.5, ""Rice"": 4.0, ""Lamb Kabila"": 5.0, ""Chicken and Waffle"": 4.0, ""Spicy Bloody Mary"": 4.0, ""Wait Time"": 5.0, ""Ambiance"": 4.0, ""Vegetarian Thali"": 5.0, ""Dal Makhani"": 5.0, ""Fig Dessert"": 5.0, ""Spinach chat"": 5.0, ""Paneer toast"": 5.0, ""Saag bahar"": 5.0, ""Black Daal"": 5.0, ""Kashmiri Naan"": 4.5, ""Roti"": 5.0, ""Chai"": 5.0, ""Vegetable Samosa"": 4.5, ""Spicy Scallop"": 4.0, ""Shrimp Crusted Salmon"": 4.0, ""Lassi"": 5.0, ""Crispy Chaat"": 3.0, ""Tofu Chili"": 5.0, ""Spinach chaat"": 5.0, ""Crispy cauliflower"": 5.0, ""Chicken tikka dunoba"": 5.0, ""Lamb chops"": 5.0, ""Chili tequila infused drink"": 4.0, ""Chili Paneer"": 4.0, ""Masala Dosa"": 3.0, ""Variety"": 3.0, ""Lamb Rogan Josh"": 5.0, ""Tikka Masala"": 5.0, ""Mango French Toast"": 4.0, ""Spicy Chicken and Waffles"": 4.0, ""Reservation Process"": 5.0, ""Kale Chaat"": 5.0, ""Cauliflower"": 5.0, ""Shrimp Thali"": 5.0, ""Chicken + Waffles"": 5.0, ""Chicken Roll"": 3.0, ""French Fries"": 5.0, ""Paneer Tikka"": 2.0, ""Mimosa Bar"": 5.0, ""Desserts"": 5.0, ""Shrimp Roti Tacos"": 5.0, ""Tandoori Mixed Grill"": 5.0, ""Price"": 5.0, ""Jal Frezi with Parantha"": 4.0, ""Paneer Masala with Rice"": 4.0, ""Hummus Board"": 4.0, ""Demitasse of Coconut Roasted Red Pepper Soup"": 5.0, ""Scallop Appetizer"": 4.0, ""Chicken Korma"": 5.0, ""Afghani Lamb Shank"": 5.0, ""Deconstructed Apple Pie"": 4.0, ""Chocolate Pot de Creme"": 4.0, ""Channa Masala"": 5.0, ""Brunch"": 5.0, ""Duo Samosa"": 3.0, ""Laal Maas Lamb Shank"": 4.0, ""Lamb Dhansak"": 3.0, ""Lamb Flavor"": 4.0, ""Specialty Drink"": 5.0, ""Moilee"": 5.0, ""Chana Masala"": 5.0, ""Daal"": 5.0}","{""Service"": 44, ""Appetizers"": 4, ""Main Courses"": 1, ""Brunch Special"": 1, ""Naan"": 1, ""Indian Food"": 2, ""Spinach Chaat"": 2, ""Lamb Lollipops"": 1, ""Happy Hour"": 2, ""Chicken and Waffles"": 1, ""Brunch Mimosas"": 1, ""Crispy Spinach Chaat"": 4, ""Vegetable Samosa Chaat"": 2, ""Rassam"": 1, ""Paneer Tikka Masala"": 1, ""Madras with Free Range Chicken Breast"": 1, ""Malai Kofta"": 1, ""Variety of Dishes"": 1, ""Starters"": 1, ""Atmosphere"": 7, ""Overall Rating"": 1, ""Crispy Spinach Chaat Salad"": 1, ""Chana Saag"": 1, ""Saffron Basmati Rice"": 1, ""Chickpea Naan"": 1, ""Chicken Madras"": 2, ""Goan Paella"": 1, ""Pork Vindaloo"": 1, ""Bottomless Brunch"": 1, ""Drinks"": 4, ""Makhani"": 1, ""Banana Nirvana"": 3, ""Chicken Tikka Masala"": 2, ""Soups"": 1, ""Drums of Heaven"": 2, ""Ice Cream Cookie"": 1, ""Indian Fusion Dishes"": 1, ""Bread Basket"": 2, ""Indian Cuisine"": 3, ""Crispy Spinach"": 2, ""Naan Pizza"": 1, ""Drumsticks"": 1, ""Main Dishes"": 1, ""Chicken Tikka Chipotle"": 2, ""Shrimp Skewers"": 1, ""Paneer Bhurji"": 1, ""Chicken Biryani"": 1, ""Indebluetini"": 1, ""Chicken & Waffles"": 1, ""Poutine"": 1, ""Pineapple Dessert"": 1, ""Tasting Menu"": 1, ""Bombay Sparkler"": 1, ""Indeblutini"": 1, ""Food"": 7, ""Food Quality"": 5, ""Value"": 3, ""Shrimp Koliwada Soft Tacos"": 1, ""Sali Boti Poutine"": 1, ""Stuffed Gulab Jamun"": 1, ""Chaat"": 1, ""Vindaloo Eggs"": 1, ""Decor"": 2, ""Seafood Thali"": 1, ""Crunchy Spinach Chaat"": 1, ""Lamb Chops"": 1, ""Cocktail (Bombay Punch)"": 1, ""Apps"": 1, ""Entrees"": 2, ""Ambience"": 2, ""Baked Tender Chicken"": 1, ""Colorful Dishes"": 1, ""Menu Variety"": 1, ""Samosas"": 1, ""Vindaloo"": 2, ""Chicken Curry"": 1, ""Naan Bread"": 1, ""Vegetarian Options"": 1, ""Crispy Cauliflower"": 1, ""Potato Samosas"": 1, ""Tandoori Chicken"": 1, ""Brussel Sprouts with Burrata"": 1, ""Masala Chicken"": 1, ""Dal Thali"": 1, ""Mango Pork Spring Rolls"": 1, ""Brussel Sprouts"": 1, ""Garlic Naan"": 2, ""Rice"": 1, ""Lamb Kabila"": 1, ""Chicken and Waffle"": 1, ""Spicy Bloody Mary"": 1, ""Wait Time"": 1, ""Ambiance"": 4, ""Vegetarian Thali"": 1, ""Dal Makhani"": 1, ""Fig Dessert"": 1, ""Spinach chat"": 1, ""Paneer toast"": 1, ""Saag bahar"": 1, ""Black Daal"": 1, ""Kashmiri Naan"": 2, ""Roti"": 1, ""Chai"": 1, ""Vegetable Samosa"": 2, ""Spicy Scallop"": 1, ""Shrimp Crusted Salmon"": 1, ""Lassi"": 1, ""Crispy Chaat"": 1, ""Tofu Chili"": 1, ""Spinach chaat"": 1, ""Crispy cauliflower"": 1, ""Chicken tikka dunoba"": 1, ""Lamb chops"": 1, ""Chili tequila infused drink"": 1, ""Chili Paneer"": 1, ""Masala Dosa"": 1, ""Variety"": 1, ""Lamb Rogan Josh"": 1, ""Tikka Masala"": 1, ""Mango French Toast"": 1, ""Spicy Chicken and Waffles"": 1, ""Reservation Process"": 1, ""Kale Chaat"": 1, ""Cauliflower"": 1, ""Shrimp Thali"": 1, ""Chicken + Waffles"": 1, ""Chicken Roll"": 1, ""French Fries"": 1, ""Paneer Tikka"": 1, ""Mimosa Bar"": 1, ""Desserts"": 1, ""Shrimp Roti Tacos"": 1, ""Tandoori Mixed Grill"": 1, ""Price"": 1, ""Jal Frezi with Parantha"": 1, ""Paneer Masala with Rice"": 1, ""Hummus Board"": 1, ""Demitasse of Coconut Roasted Red Pepper Soup"": 1, ""Scallop Appetizer"": 1, ""Chicken Korma"": 1, ""Afghani Lamb Shank"": 1, ""Deconstructed Apple Pie"": 1, ""Chocolate Pot de Creme"": 1, ""Channa Masala"": 1, ""Brunch"": 2, ""Duo Samosa"": 1, ""Laal Maas Lamb Shank"": 1, ""Lamb Dhansak"": 1, ""Lamb Flavor"": 1, ""Specialty Drink"": 1, ""Moilee"": 1, ""Chana Masala"": 1, ""Daal"": 1}"
3,-0eUa8TsXFFy0FCxHYmrjg,"{""Service"": 5.0, ""Panini"": 5.0, ""Cold Brew Coffee"": 4.0, ""Baklava"": 5.0, ""Cuban Sandwich"": 5.0}","{""Service"": 1, ""Panini"": 1, ""Cold Brew Coffee"": 1, ""Baklava"": 1, ""Cuban Sandwich"": 1}"
4,-0fvhILrC9UsQ6gLNpZlTQ,"{""Service"": 5.0, ""Desserts"": 5.0, ""Southern Cuisine"": 5.0}","{""Service"": 1, ""Desserts"": 1, ""Southern Cuisine"": 1}"
5,-1B9pP_CrRBJYPICE5WbRA,"{""Service"": 3.75, ""Close to Hotel"": 4.0, ""Good for families with prams"": 4.0, ""Iced Water"": 4.0, ""Chicken Penang Curry"": 3.0, ""Cumin Lamb"": 2.5, ""Ahi Tuna Dumplings"": 4.5, ""Unknown Appetizer"": 3.0, ""Beef Pad Thai"": 4.0, ""Panang Curry"": 3.0, ""Thai Ginger Coconut bomb"": 3.0, ""Atmosphere"": 4.0, ""Dandan Noodles"": 2.0, ""Wonton Soup"": 2.6666666666666665, ""Ambiance"": 4.25, ""Food Quality"": 4.125, ""Price"": 4.333333333333333, ""Massaman Curry"": 5.0, ""Food Presentation"": 5.0, ""Overall Experience"": 5.0, ""Creativity"": 5.0, ""Crispy Wanton in Spicy Sauce"": 5.0, ""Blue Crab Avocado Salad"": 4.0, ""Spicy Cucumber Salad"": 5.0, ""Silky Tofu"": 5.0, ""Salt and Pepper Shrimp"": 4.0, ""Beef Chow Fun"": 5.0, ""Alcoholic Beverages"": 5.0, ""Potstickers"": 3.0, ""Beef Hot Pot"": 5.0, ""Spring Rolls"": 4.0, ""Green Curry Chicken"": 3.0, ""Jasmine Rice"": 4.0, ""Shisojito"": 5.0, ""Cocktails"": 5.0, ""Philly Love cocktail"": 5.0, ""Dragon Nectar"": 5.0, ""Passionate Kiss"": 5.0, ""Food"": 4.5, ""Edamame"": 4.0, ""Spring rolls"": 4.0, ""Spicy cucumber"": 4.0, ""Dumplings"": 4.0, ""Chicken satay"": 4.0, ""Vegetarian chicken lettuce wraps"": 4.0, ""Overall"": 5.0, ""Szechuan"": 1.0, ""Asian"": 1.0, ""Mini Wontons in Chili Oil"": 1.0, ""Dan Dan Noodles"": 1.5, ""Double Cooked Fish"": 1.0, ""Tropical Mango Chicken"": 3.0, ""Hot Pepper Chicken"": 5.0, ""Pineapple fried rice"": 2.0, ""Variety"": 3.0, ""Sichuan"": 2.0, ""Thai"": 2.0, ""Cantonese"": 2.0, ""Malay"": 2.0, ""Asian American Fusion"": 2.0, ""Dan Dan Noodle"": 2.0, ""Hot Sauce Chicken"": 2.0, ""Drunken Noodle"": 3.5, ""Dry Pepper Chicken"": 2.0, ""Lemongrass Soup"": 1.0, ""Drinks"": 5.0, ""Ginger cosmo"": 5.0, ""Bartender"": 5.0, ""Chili Aioli Rock Shrimp"": 4.0, ""Cumin Beef"": 3.0, ""Tiramisu"": 3.0, ""Tea"": 4.0, ""Tom Yum Soup"": 4.0, ""Dry Pepper Style Chicken"": 1.0, ""Thai Basil Rice"": 3.0, ""Eggplant Miso"": 5.0, ""Avocado Crab Meat Salad"": 5.0, ""Ahi Toni Dumpling"": 5.0, ""Mapo Tofu with minced Beef"": 5.0, ""Meat Dishes"": 5.0, ""Spicy Vegetarian Dishes"": 5.0, ""Kid-Friendly Options"": 5.0, ""Soup"": 3.0, ""Value for Money"": 5.0, ""Food Selection"": 5.0, ""HH Apps"": 4.0, ""Skewers"": 4.0, ""Garlic Naan"": 5.0, ""Caribbean Spice Drink"": 5.0}","{""Service"": 24, ""Close to Hotel"": 1, ""Good for families with prams"": 1, ""Iced Water"": 1, ""Chicken Penang Curry"": 1, ""Cumin Lamb"": 2, ""Ahi Tuna Dumplings"": 2, ""Unknown Appetizer"": 1, ""Beef Pad Thai"": 1, ""Panang Curry"": 2, ""Thai Ginger Coconut bomb"": 1, ""Atmosphere"": 2, ""Dandan Noodles"": 1, ""Wonton Soup"": 3, ""Ambiance"": 8, ""Food Quality"": 4, ""Price"": 3, ""Massaman Curry"": 1, ""Food Presentation"": 1, ""Overall Experience"": 1, ""Creativity"": 1, ""Crispy Wanton in Spicy Sauce"": 1, ""Blue Crab Avocado Salad"": 1, ""Spicy Cucumber Salad"": 1, ""Silky Tofu"": 1, ""Salt and Pepper Shrimp"": 1, ""Beef Chow Fun"": 1, ""Alcoholic Beverages"": 1, ""Potstickers"": 1, ""Beef Hot Pot"": 1, ""Spring Rolls"": 1, ""Green Curry Chicken"": 1, ""Jasmine Rice"": 1, ""Shisojito"": 1, ""Cocktails"": 1, ""Philly Love cocktail"": 1, ""Dragon Nectar"": 1, ""Passionate Kiss"": 1, ""Food"": 2, ""Edamame"": 1, ""Spring rolls"": 1, ""Spicy cucumber"": 1, ""Dumplings"": 1, ""Chicken satay"": 1, ""Vegetarian chicken lettuce wraps"": 1, ""Overall"": 1, ""Szechuan"": 1, ""Asian"": 1, ""Mini Wontons in Chili Oil"": 1, ""Dan Dan Noodles"": 2, ""Double Cooked Fish"": 1, ""Tropical Mango Chicken"": 2, ""Hot Pepper Chicken"": 1, ""Pineapple fried rice"": 1, ""Variety"": 1, ""Sichuan"": 1, ""Thai"": 1, ""Cantonese"": 1, ""Malay"": 1, ""Asian American Fusion"": 1, ""Dan Dan Noodle"": 1, ""Hot Sauce Chicken"": 1, ""Drunken Noodle"": 2, ""Dry Pepper Chicken"": 1, ""Lemongrass Soup"": 1, ""Drinks"": 2, ""Ginger cosmo"": 1, ""Bartender"": 1, ""Chili Aioli Rock Shrimp"": 1, ""Cumin Beef"": 1, ""Tiramisu"": 1, ""Tea"": 1, ""Tom Yum Soup"": 1, ""Dry Pepper Style Chicken"": 1, ""Thai Basil Rice"": 1, ""Eggplant Miso"": 1, ""Avocado Crab Meat Salad"": 1, ""Ahi Toni Dumpling"": 1, ""Mapo Tofu with minced Beef"": 1, ""Meat Dishes"": 1, ""Spicy Vegetarian Dishes"": 1, ""Kid-Friendly Options"": 1, ""Soup"": 1, ""Value for Money"": 1, ""Food Selection"": 1, ""HH Apps"": 1, ""Skewers"": 1, ""Garlic Naan"": 1, ""Caribbean Spice Drink"": 1}"
6,-1yftDfgOUlxe_IACM5PFg,"{""Service"": 5.0, ""Bread"": 3.0, ""Lemon Balsamic"": 5.0, ""Peach White Balsamic"": 5.0, ""Taste"": 5.0, ""Balsamic Vinegar - Cinnamon"": 5.0, ""Balsamic Vinegar - Pear"": 5.0, ""Balsamic Vinegar - Blackberry & Ginger"": 5.0, ""Overall"": 5.0}","{""Service"": 2, ""Bread"": 1, ""Lemon Balsamic"": 1, ""Peach White Balsamic"": 1, ""Taste"": 1, ""Balsamic Vinegar - Cinnamon"": 1, ""Balsamic Vinegar - Pear"": 1, ""Balsamic Vinegar - Blackberry & Ginger"": 1, ""Overall"": 1}"
7,-32hOCwsuKd04WO-HQyYFg,"{""Service"": 2.0, ""Pizza"": 1.5, ""Chicken Caesar Salad"": 3.0, ""Quality of Food"": 1.0}","{""Service"": 2, ""Pizza"": 2, ""Chicken Caesar Salad"": 1, ""Quality of Food"": 1}"
8,-40qQXB8JsneSiDqXMjoeg,"{""Service"": 5.0, ""Octopus"": 5.0, ""Mixed Seafood Soup"": 5.0, ""Branzino"": 5.0}","{""Service"": 1, ""Octopus"": 1, ""Mixed Seafood Soup"": 1, ""Branzino"": 1}"
9,-4N4YEobjG89VQsEgqZshg,"{""Service"": 4.0, ""Appetizers"": 4.5, ""Crispy Rice Cake Fries"": 5.0, ""Chicken Wings"": 4.0, ""Main Dishes"": 4.5, ""Pork Belly Ramen"": 5.0, ""Tofu Bibimbap"": 4.0, ""Innovation"": 5.0}","{""Service"": 1, ""Appetizers"": 1, ""Crispy Rice Cake Fries"": 1, ""Chicken Wings"": 1, ""Main Dishes"": 1, ""Pork Belly Ramen"": 1, ""Tofu Bibimbap"": 1, ""Innovation"": 1}"
10,-4dYswJy7SPcbcERvitmIg,"{""Service"": 1.0, ""Produce"": 1.0, ""Meats"": 1.0, ""Seafood"": 1.0}","{""Service"": 1, ""Produce"": 1, ""Meats"": 1, ""Seafood"": 1}"
